subject_idx,gain_val,loss_val,choice_val,auc_val,RT,x-flip
0,10.0,2.5,1,-0.399,2387.0,8.0
0,6.0,3.75,1,-0.0104,1872.0,9.0
0,16.0,10.0,0,1.1255,2262.0,13.0
0,10.0,18.75,0,-0.0914,1170.0,8.0
0,5.0,9.375,0,0.1273,1716.0,8.0
0,2.0,4.0,0,-0.0174,1778.0,9.0
0,12.0,7.5,1,2.7346,2449.0,8.0
0,9.0,16.875,0,-0.1122,2855.0,10.0
0,4.0,1.0,1,0.8215,2028.0,19.0
0,2.0,1.5,1,0.2266,1388.0,6.0
0,6.0,1.5,1,4.4557,3104.0,15.0
0,16.0,4.0,1,0.2093,1778.0,10.0
0,4.0,8.0,0,2.4959,3011.0,17.0
0,6.0,12.0,0,-0.1367,1342.0,9.0
0,16.0,8.0,1,2.9321,2137.0,5.0
0,9.0,18.0,0,0.1521,1591.0,9.0
0,16.0,22.0,0,0.7412,2558.0,11.0
0,2.0,3.25,0,0.0076,1373.0,13.0
0,12.0,3.0,1,3.3779,1576.0,7.0
0,8.0,9.0,0,2.7093,1778.0,11.0
0,15.0,16.875,0,0.072,796.0,11.0
0,12.0,16.5,0,0.0555,827.0,6.0
0,15.0,26.25,0,0.0122,967.0,7.0
0,16.0,26.0,0,0.1763,999.0,9.0
0,5.0,6.875,0,-0.5047,1388.0,9.0
0,10.0,20.0,0,0.2182,765.0,4.0
0,9.0,14.625,0,-0.0537,1139.0,6.0
0,10.0,8.75,0,-0.0533,1685.0,10.0
0,16.0,24.0,0,-0.0186,874.0,7.0
0,9.0,4.5,1,2.8486,1560.0,9.0
0,4.0,6.5,0,5.0059,2138.0,13.0
0,14.0,15.75,0,-0.0457,1108.0,6.0
0,9.0,10.125,0,0.0299,920.0,6.0
0,14.0,26.25,0,0.1453,1451.0,9.0
0,14.0,19.25,0,0.0326,1077.0,4.0
0,10.0,3.75,1,3.9974,1310.0,8.0
0,4.0,2.0,1,4.0244,1295.0,8.0
0,10.0,13.75,0,2.9036,1591.0,12.0
0,16.0,16.0,0,0.063,1030.0,8.0
0,16.0,12.0,0,-0.0214,889.0,9.0
0,12.0,24.0,0,0.0011,1201.0,12.0
0,14.0,24.5,0,0.0793,1108.0,6.0
0,16.0,32.0,0,-0.1062,1513.0,17.0
0,15.0,20.625,0,0.2003,920.0,6.0
0,4.0,7.0,0,-0.0006,1435.0,7.0
0,8.0,12.0,0,0.0724,842.0,3.0
0,8.0,11.0,0,0.0076,842.0,10.0
0,10.0,17.5,0,-0.0633,811.0,10.0
0,12.0,21.0,0,0.007,858.0,9.0
0,2.0,2.75,0,-0.0003,1233.0,9.0
0,12.0,15.0,0,0.1157,764.0,7.0
0,14.0,22.75,0,0.0291,920.0,8.0
0,2.0,2.25,0,2.859,1840.0,7.0
0,15.0,13.125,0,4.9611,2964.0,8.0
0,14.0,14.0,0,-0.0673,1046.0,8.0
0,8.0,14.0,0,0.1101,920.0,10.0
0,9.0,7.875,0,0.0308,1217.0,7.0
0,15.0,9.375,1,3.5118,3183.0,16.0
0,6.0,11.25,0,-0.2713,1747.0,13.0
0,9.0,11.25,0,-0.0207,593.0,2.0
0,5.0,7.5,0,3.4345,1653.0,10.0
0,8.0,5.0,1,3.766,1560.0,4.0
0,12.0,22.5,0,0.0296,1139.0,8.0
0,2.0,2.5,0,4.0012,1857.0,10.0
0,4.0,1.5,1,3.9544,1778.0,7.0
0,5.0,8.75,0,0.1789,1529.0,3.0
0,10.0,16.25,0,0.0045,1014.0,2.0
0,10.0,10.0,0,-0.1107,999.0,6.0
0,2.0,2.0,0,-0.0923,1046.0,4.0
0,2.0,0.5,1,0.2765,1451.0,17.0
0,16.0,18.0,0,0.1543,1607.0,15.0
0,10.0,7.5,1,4.3939,2418.0,9.0
0,15.0,5.625,1,4.3471,1669.0,11.0
0,14.0,12.25,1,4.8227,1826.0,14.0
0,5.0,5.0,0,3.2092,1918.0,12.0
0,14.0,8.75,1,3.2742,1747.0,5.0
0,16.0,20.0,0,0.1775,1201.0,11.0
0,4.0,2.5,1,2.9161,1248.0,7.0
0,15.0,15.0,0,2.2704,1139.0,16.0
0,5.0,3.125,1,1.5513,1934.0,17.0
0,12.0,6.0,1,2.4413,1701.0,7.0
0,9.0,12.375,0,2.3165,1451.0,12.0
0,5.0,2.5,1,3.4101,1263.0,7.0
0,2.0,3.75,0,3.3603,1544.0,8.0
0,12.0,19.5,0,4.1677,1732.0,7.0
0,2.0,0.75,1,2.3351,2294.0,8.0
0,6.0,7.5,0,2.4971,3244.0,9.0
0,8.0,3.0,1,3.0254,1404.0,11.0
0,8.0,13.0,0,1.5227,1185.0,11.0
0,12.0,10.5,0,0.0653,889.0,6.0
0,10.0,6.25,1,3.0954,1466.0,14.0
0,5.0,1.25,1,3.9158,2668.0,9.0
0,4.0,4.5,0,4.2459,1841.0,11.0
0,14.0,21.0,0,-0.0201,796.0,3.0
0,8.0,15.0,0,-0.0672,1092.0,5.0
0,5.0,6.25,0,5.0542,2075.0,9.0
0,9.0,15.75,0,0.2905,2558.0,11.0
0,6.0,4.5,1,3.3459,2122.0,9.0
0,10.0,11.25,0,0.4097,1358.0,10.0
0,10.0,5.0,1,0.3376,1373.0,11.0
0,6.0,8.25,0,2.6539,1684.0,13.0
0,14.0,10.5,0,-0.0274,1029.0,2.0
0,15.0,30.0,0,0.1855,874.0,3.0
0,16.0,14.0,0,-0.2756,983.0,10.0
0,15.0,28.125,0,0.0325,873.0,11.0
0,6.0,3.0,1,3.483,1685.0,7.0
0,8.0,4.0,1,4.28,1436.0,7.0
0,2.0,3.0,0,3.3956,1825.0,14.0
0,6.0,10.5,0,0.092,1404.0,16.0
0,14.0,7.0,1,3.3846,2293.0,10.0
0,5.0,3.75,1,-0.0543,1575.0,11.0
0,5.0,5.625,0,3.3511,1451.0,8.0
0,6.0,6.0,0,0.0518,873.0,4.0
0,12.0,18.0,0,0.0955,733.0,7.0
0,12.0,12.0,0,0.0128,873.0,5.0
0,15.0,11.25,0,-0.1,890.0,9.0
0,4.0,5.5,0,0.1403,1310.0,12.0
0,6.0,9.75,0,-0.3234,1373.0,7.0
0,12.0,4.5,0,0.0209,842.0,10.0
0,14.0,17.5,0,-0.0149,1014.0,10.0
0,16.0,28.0,0,0.0955,1046.0,4.0
0,8.0,2.0,1,3.6454,1575.0,6.0
0,8.0,10.0,0,0.0066,1060.0,8.0
0,16.0,6.0,0,0.2453,889.0,6.0
0,14.0,28.0,0,-0.0393,1232.0,6.0
0,15.0,3.75,1,3.6602,1731.0,4.0
0,10.0,15.0,0,2.3498,1185.0,9.0
0,6.0,9.0,0,-0.4502,2777.0,16.0
0,8.0,7.0,0,-0.1115,2792.0,3.0
0,2.0,1.0,1,4.0911,1435.0,4.0
0,15.0,22.5,0,2.568,1108.0,4.0
0,15.0,24.375,0,-0.1147,748.0,13.0
0,9.0,13.5,0,-0.0343,608.0,1.0
0,16.0,30.0,0,0.0343,874.0,4.0
0,9.0,9.0,0,-0.0603,905.0,3.0
0,8.0,16.0,0,0.1492,936.0,7.0
0,8.0,6.0,1,0.3221,1388.0,8.0
0,2.0,1.75,1,1.4719,1342.0,10.0
0,4.0,5.0,0,2.8503,2839.0,15.0
0,9.0,3.375,1,3.931,1685.0,13.0
0,9.0,2.25,1,0.4196,1747.0,13.0
0,4.0,3.0,1,-0.0091,1077.0,10.0
